user_id,session_time,clicks,scroll_depth,categories_viewed,comparison_count,product_views,decision_time,price_sensitivity,feature_interest_score,device_type,previous_decisions,engagement_score,purchase_intent_score,true_segment,engagement_ratio,decision_efficiency,interaction_score,behavior_intensity,research_depth,intent_signal
user_00001,1491,17,0.7495942684725625,3,5,18,1764,0.6557924259680555,0.6092529972603224,desktop,4,0.9129170549376157,0.6572632548168693,analytical,0.011394101876675604,0.010198300283286119,12.743102564033563,23,2.2487828054176875,0.5398399084930183
user_00002,345,16,0.6937126404461471,3,3,4,399,0.3828160992785832,0.8381290391702236,mobile,41,0.807291059816575,0.8262069946680568,power_user,0.046242774566473986,0.01,11.099402247138354,7,2.081137921338441,0.5756701158121952
user_00003,529,23,0.5138436512823402,3,2,5,407,0.3971854641568804,0.6555668414844011,mobile,10,0.8116420490731598,0.8410882845291132,high_intent,0.04339622641509434,0.012254901960784314,11.818403979493825,7,1.5415309538470208,0.5836043991218285
user_00004,742,21,0.6952240143746504,2,4,9,642,0.2982122212746249,0.6859270941146527,tablet,6,0.8499389210001298,0.8008133072957537,high_intent,0.02826379542395693,0.013996889580093312,14.599704301867659,13,1.3904480287493008,0.5795060660923684
user_00005,151,0,0.35254788473383236,2,0,4,345,0.6959429438446374,0.18937928615734784,tablet,1,0.34033362151085944,0.3231046400523673,casual,0.0,0.011560693641618497,0.0,4,0.7050957694676647,0.2348101505666903
user_00006,75,3,0.18267681593263582,2,2,2,597,0.848753460234234,0.30043946151874906,mobile,0,0.2709825342643014,0.1555991036886595,casual,0.039473684210526314,0.0033444816053511705,0.5480304477979074,4,0.36535363186527164,0.1445377462363596
user_00007,61,1,0.13944075915815826,2,2,2,601,0.7323832831651295,0.4897600468753505,tablet,0,0.34430118633399004,0.2451492488894053,casual,0.016129032258064516,0.0033222591362126247,0.13944075915815826,4,0.2788815183163165,0.20234673319682292
user_00008,313,13,0.6630974182321627,2,1,7,394,0.5506475793737299,0.7485044802839611,mobile,27,0.6812533859381109,0.758679014817493,power_user,0.041401273885350316,0.017721518987341773,8.620266437018115,8,1.3261948364643255,0.513164077404633
user_00009,537,17,0.5075213602396865,3,2,11,820,0.40067162751988744,0.7928336545220095,tablet,3,0.949960005842712,0.6053488433735907,high_intent,0.031598513011152414,0.013398294762484775,8.62786312407467,13,1.5225640807190595,0.5311470275309953
user_00010,305,19,0.5522883861930664,2,4,10,550,0.39590008855303316,0.5942089125409346,mobile,11,0.6653419438659549,0.741880779699637,high_intent,0.06209150326797386,0.018148820326678767,10.493479337668262,14,1.1045767723861328,0.5017995411376449
